Date,Rented_Bike_Count,Hour,Temperature,Humidity,Wind_speed,Visibility,Solar_Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning_Day,High_Demand,day_of_week,is_weekend,month,hour_sin,hour_cos,lag_24h,rolling_mean_3h,rolling_std_3h,rolling_std_6h,rolling_mean_24h,temp_hour,temp_squared,wind_rain
2017-12-02,328,0,-1.8,87,1.1,994,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.0,1.0,254.0,349.6666666666667,41.932485418031106,100.74853183380233,400.5416666666667,-0.0,3.24,0.0
2017-12-02,308,1,-2.2,86,0.6,990,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.25881904510252074,0.9659258262890683,204.0,319.6666666666667,10.408329997333489,50.5793106582787,404.875,-2.2,4.840000000000001,0.0
2017-12-02,262,2,-2.9,86,1.5,1256,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.49999999999999994,0.8660254037844387,173.0,299.3333333333333,33.84277372399301,54.93147246039064,408.5833333333333,-5.8,8.41,0.0
2017-12-02,167,3,-3.5,81,2.2,1221,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.7071067811865475,0.7071067811865476,107.0,245.66666666666666,71.90502995850423,77.56459673502233,411.0833333333333,-10.5,12.25,0.0
2017-12-02,89,4,-3.8,79,2.0,1167,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.8660254037844386,0.5000000000000001,78.0,172.66666666666666,86.63909817936351,97.61437735634345,411.5416666666667,-15.2,14.44,0.0
2017-12-02,79,5,-4.0,79,1.5,1202,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.9659258262890683,0.25881904510252074,100.0,111.66666666666667,48.18021724041299,109.32657499437148,410.6666666666667,-20.0,16.0,0.0
2017-12-02,70,6,-4.3,82,2.1,1178,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,1.0,6.123233995736766e-17,181.0,79.33333333333333,9.504384952925081,102.0014705776339,406.0416666666667,-25.799999999999997,18.49,0.0
2017-12-02,146,7,-4.4,81,2.5,1276,0.0,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.9659258262890683,-0.25881904510252063,460.0,98.33333333333333,41.52509281546988,73.14301060251692,392.9583333333333,-30.800000000000004,19.360000000000003,0.0
2017-12-02,219,8,-4.2,79,2.1,1436,0.01,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.8660254037844388,-0.4999999999999998,930.0,145.0,74.5050333870139,59.0107334869392,363.3333333333333,-33.6,17.64,0.0
2017-12-02,328,9,-2.9,68,1.6,1487,0.3,0.0,0.0,Winter,No Holiday,Yes,0,5,1,12,0.7071067811865476,-0.7071067811865475,490.0,231.0,91.59148432032345,101.45228763643816,356.5833333333333,-26.099999999999998,8.41,0.0
